0.0 sh0:0.0  sh1:0.19833079587802305  sh2:0.3293071973437407  sh3:0.3548480883245883  sh4:0.2639880499407601  sh5:0.18596819664037711  sh6:0.18074163751940792  sh7:0.32366018550244996  sh8:0.18725863559908762  sh9:0.3304131827476714  sh10:0.09481212280672066  sh11:0.4493646816032755  
0.0 sh0:0.0939890934767794  sh1:0.31685265388065637  sh2:0.49527093652429116  sh3:0.5024976123100494  sh4:0.21605948108579598  sh5:0.434323303342939  sh6:0.30784726752730174  sh7:0.46446299890887327  sh8:0.4071943844925367  sh9:0.4031546194334806  sh10:0.005500102602220538  sh11:0.21960525679769385  
0.0 sh0:0.09599152085493334  sh1:0.3632530964995024  sh2:0.4292398662839286  sh3:0.511973048307709  sh4:0.2251216355264675  sh5:0.26235102056717763  sh6:0.3327288910443196  sh7:0.33378416661403515  sh8:0.2490915989005918  sh9:0.23613234065619698  sh10:0.10723326275036968  sh11:0.497647940902039  
0.0 sh0:0.10066183103680477  sh1:0.2985036530213914  sh2:0.4830206649315213  sh3:0.48183877482178133  sh4:0.20237395806734304  sh5:0.37610199554294554  sh6:0.3344794134761986  sh7:0.46478094186598545  sh8:0.3608923973570517  sh9:0.4019553250988245  sh10:0.003785436136328322  sh11:0.21735347779783087  
1.0 sh0:0.39904659290337446  sh1:0.6558107258978649  sh2:0.9953398330296199  sh3:0.9328199053754482  sh4:0.17112376301403537  sh5:0.9401802374003131  sh6:1.0  sh7:0.8623310119503562  sh8:0.7774549769375473  sh9:1.0  sh10:0.18040098041142796  sh11:0.12339042121697184  
1.0 sh0:0.23684879817082344  sh1:0.4876008258722022  sh2:0.7466253596389956  sh3:0.7082411076171099  sh4:0.15704482492038635  sh5:0.9210299119007673  sh6:0.7301361036032641  sh7:0.8191638486820452  sh8:0.880694054525684  sh9:0.7099867809959711  sh10:0.06725179749875478  sh11:0.07946625438568375  
0.0 sh0:0.11390583741957758  sh1:0.2630696330167759  sh2:0.43992310980610916  sh3:0.42444627248553657  sh4:0.2220780709924872  sh5:0.3189586124008279  sh6:0.3029394589404911  sh7:0.4432525017326465  sh8:0.30016035880090813  sh9:0.395045141511134  sh10:0.00510237499953827  sh11:0.22428140738686755  
0.0 sh0:0.12255289016680619  sh1:0.313624669146627  sh2:0.5829658708190504  sh3:0.5240444189571921  sh4:0.25639107371816444  sh5:0.4471376472189211  sh6:0.3560069103817356  sh7:0.5295180334619355  sh8:0.4815626652650372  sh9:0.5571969766740286  sh10:0.037552507601746034  sh11:0.15526616198536172  
1.0 sh0:0.34543028106726803  sh1:0.2771912964217784  sh2:0.18364277785230618  sh3:0.25556111492768513  sh4:0.6346527201814448  sh5:0.047539252255851344  sh6:0.2063557810128196  sh7:0.06806475566343513  sh8:0.005068757658409565  sh9:0.08015130474220102  sh10:0.398659914383293  sh11:0.7686735801627017  
1.0 sh0:0.3292157868872619  sh1:0.5970359700108796  sh2:0.9478143288439573  sh3:0.8767338017108869  sh4:0.14482351916417463  sh5:0.9132672126725208  sh6:0.9081429395021177  sh7:0.8736874986221683  sh8:0.7926293652392244  sh9:0.9810392287534094  sh10:0.12466088928001698  sh11:0.023365484678943026  
0.0 sh0:0.14323873608764848  sh1:0.0  sh2:0.08855796561867364  sh3:0.03052554737999158  sh4:0.42301642953018165  sh5:0.1799714753861658  sh6:0.24117197763573744  sh7:0.27971423768874376  sh8:0.19157410577271564  sh9:0.3654357219865223  sh10:0.15332702385874114  sh11:0.6159197497059236  
1.0 sh0:0.22229382684267132  sh1:0.5987926669023759  sh2:0.8493691819959432  sh3:0.8405263328856714  sh4:0.0  sh5:0.8803069050755948  sh6:0.7586097432035781  sh7:0.8904737574922915  sh8:0.8978155704474083  sh9:0.818975830973477  sh10:0.17370909781748384  sh11:0.11173244543752164  
1.0 sh0:0.281584244469353  sh1:0.5100673297608332  sh2:0.8601212576279406  sh3:0.7582530689933134  sh4:0.13903689950293177  sh5:0.8595536739103413  sh6:0.8122262371575367  sh7:0.8505227990107331  sh8:0.7933361951512402  sh9:0.9497778137989228  sh10:0.09523462898701038  sh11:0.018967764653095014  
0.0 sh0:0.1626389757800927  sh1:0.3053526787484646  sh2:0.5826273099566383  sh3:0.5073670483734939  sh4:0.2914216448245622  sh5:0.48935173212068706  sh6:0.42639852194013544  sh7:0.5671386068057543  sh8:0.5444204028444256  sh9:0.6176683101990867  sh10:0.04730869928523494  sh11:0.1797596279488683  
1.0 sh0:0.29685559663315964  sh1:0.739272339360272  sh2:1.0  sh3:1.0  sh4:0.019665206886923362  sh5:1.0  sh6:0.8523284355731346  sh7:0.9834039744902209  sh8:0.9793767683822454  sh9:0.8885860107964524  sh10:0.24334551817719663  sh11:0.16324874543176962  
0.0 sh0:0.1300916680922298  sh1:0.2972989549973344  sh2:0.48450371423269967  sh3:0.46967052819862054  sh4:0.24175923807509564  sh5:0.32065854147841816  sh6:0.3006223401408307  sh7:0.4380918963399874  sh8:0.3123575619998785  sh9:0.38164777005597167  sh10:0.0064990125704894736  sh11:0.23211732771512048  
1.0 sh0:0.2640835344135384  sh1:0.42197409609549824  sh2:0.7324155958974361  sh3:0.6529078330655598  sh4:0.19261066093352436  sh5:0.8245844699922927  sh6:0.800076955441508  sh7:0.8017367049208933  sh8:0.7778888905291867  sh9:0.9186791262800831  sh10:0.07659743044306801  sh11:0.05934625170087275  
0.0 sh0:0.1427104115662952  sh1:0.07568950457478248  sh2:0.0  sh3:0.06261741431361507  sh4:0.5128440163672543  sh5:0.1323740241880325  sh6:0.22651706564938054  sh7:0.20788675567649237  sh8:0.14774127235656953  sh9:0.27638290363935336  sh10:0.2477331533954402  sh11:0.7475179026188582  
0.0 sh0:0.08494554174563224  sh1:0.32303245031298805  sh2:0.5549896006980127  sh3:0.5414037731597201  sh4:0.2379126965967375  sh5:0.38498357173985825  sh6:0.3171812492059494  sh7:0.4957141275167915  sh8:0.40007583107219535  sh9:0.4935297818040817  sh10:0.031341633459892666  sh11:0.20609135065361692  
1.0 sh0:0.2854784804119338  sh1:0.4837900637234498  sh2:0.780636589322934  sh3:0.712817375518446  sh4:0.16604925325468256  sh5:0.9089761570509534  sh6:0.8659675376261382  sh7:0.850309639963895  sh8:0.7809102892928135  sh9:0.899753730410357  sh10:0.08985336764488365  sh11:0.04150066857006892  
1.0 sh0:0.16071560594765522  sh1:0.4915730555677727  sh2:0.6977552247234073  sh3:0.6593701489793277  sh4:0.057708720432483804  sh5:0.7023148946347189  sh6:0.5417302357716967  sh7:0.5919064485846791  sh8:0.7542588657481941  sh9:0.4909764308343378  sh10:0.11881485675357742  sh11:0.1905802732855561  
0.0 sh0:0.08698969163337095  sh1:0.24673365942690906  sh2:0.437637047452729  sh3:0.4247442556251942  sh4:0.29375076585478144  sh5:0.26643467055420345  sh6:0.23780540102023823  sh7:0.4187180360034049  sh8:0.2535734957901641  sh9:0.4207734417818739  sh10:0.02894832649997703  sh11:0.28405154445352293  
1.0 sh0:0.2865525922299311  sh1:0.5404103455070749  sh2:0.8402251856323875  sh3:0.7888176159446476  sh4:0.10054862139712498  sh5:0.9796506001819086  sh6:0.9098097262016177  sh7:0.9282486192983989  sh8:0.804882861766078  sh9:0.9722634718142387  sh10:0.10738203343905245  sh11:0.02212990313093785  
1.0 sh0:0.4035553130375179  sh1:0.3194611486224404  sh2:0.24922372042914334  sh3:0.28808237439040074  sh4:0.5819920887475091  sh5:0.0  sh6:0.11905780008246467  sh7:0.10314569118813323  sh8:0.004814875991947599  sh9:0.09871053665247767  sh10:0.4197350046341751  sh11:0.8086534565628252  
1.0 sh0:0.2406779203118297  sh1:0.4769426128529942  sh2:0.7855723728295041  sh3:0.7191433740471227  sh4:0.12603706360225486  sh5:0.8454385319658467  sh6:0.7596169956525199  sh7:0.8794167052070417  sh8:0.8539126161904479  sh9:0.8870196901749325  sh10:0.07157615844784804  sh11:0.0  
1.0 sh0:0.21333239730045844  sh1:0.19052621572806352  sh2:0.2088356923688623  sh3:0.20001334512394617  sh4:0.4022268445987671  sh5:0.11476181643385995  sh6:0.0  sh7:0.14667714463178888  sh8:0.11115861872927524  sh9:0.16382150325592768  sh10:0.25589194311697744  sh11:0.6402105665678653  
0.0 sh0:0.08432845467991307  sh1:0.3458372841395137  sh2:0.3879130040886378  sh3:0.4794164405918695  sh4:0.2363387334440178  sh5:0.2479017523090183  sh6:0.3199942796068168  sh7:0.32368587436105994  sh8:0.23013147040399826  sh9:0.23217798875123152  sh10:0.12401019855689871  sh11:0.5365075484892069  
0.0 sh0:0.11732793881935986  sh1:0.29583753795617185  sh2:0.4731221312347243  sh3:0.46111156296397  sh4:0.25309372141965997  sh5:0.3137804633725107  sh6:0.2887510401658493  sh7:0.41581676189477956  sh8:0.2759387755460779  sh9:0.3664389734672625  sh10:0.005082897090779025  sh11:0.2556252318988832  
1.0 sh0:0.13354729569749377  sh1:0.4468336994146513  sh2:0.5949176966032165  sh3:0.6046279306620228  sh4:0.13610662451649613  sh5:0.5830300658223657  sh6:0.43814701225802455  sh7:0.5376347356491801  sh8:0.5982808030833803  sh9:0.45104087539411813  sh10:0.09690552979695895  sh11:0.3460534872777055  
1.0 sh0:0.22460980897228452  sh1:0.49397343881765  sh2:0.7734242128936996  sh3:0.7361433120759834  sh4:0.1512386496763444  sh5:0.9080055553467207  sh6:0.8171504061916866  sh7:0.9083037740139629  sh8:0.8797359884149932  sh9:0.7975201288825937  sh10:0.0674749339413413  sh11:0.07734344556404589  
1.0 sh0:0.26193503306879445  sh1:0.6983833843979651  sh2:0.9579740117097719  sh3:0.9578805085326124  sh4:0.0098292453572332  sh5:0.946432023938412  sh6:0.8098858484520338  sh7:0.9458817632512512  sh8:0.9433908731763048  sh9:0.8588565609738172  sh10:0.21357636089430937  sh11:0.14637027536436953  
0.0 sh0:0.08534513413901132  sh1:0.27560626408296784  sh2:0.3233338416025556  sh3:0.40103983267398846  sh4:0.260916918843542  sh5:0.20584338736399949  sh6:0.2321413897533925  sh7:0.2445332774423703  sh8:0.1923342825390682  sh9:0.1742208555959884  sh10:0.09684958129729172  sh11:0.496714237856567  
1.0 sh0:0.21334523642808295  sh1:0.4725691264535441  sh2:0.7669814775725152  sh3:0.7185500139789133  sh4:0.18831979194283358  sh5:0.8044808314072157  sh6:0.6868559525715892  sh7:0.8332606025184978  sh8:0.856780586255364  sh9:0.7758596696226298  sh10:0.05235971975724551  sh11:0.051639080048730544  
1.0 sh0:0.2465649185382949  sh1:0.5324240970901081  sh2:0.8558930435678476  sh3:0.7852911330365918  sh4:0.12413417407556906  sh5:0.8975242064906779  sh6:0.8250417008338516  sh7:0.888791753712682  sh8:0.8915888203285567  sh9:0.9377432248955925  sh10:0.08017389361811064  sh11:0.024998656985605588  
0.0 sh0:0.16726888461008713  sh1:0.337801006550991  sh2:0.6168676866518699  sh3:0.5509026413241662  sh4:0.2915586465323243  sh5:0.49094288560694865  sh6:0.4140198690197018  sh7:0.5745492797472986  sh8:0.5464846947755075  sh9:0.612841462204506  sh10:0.04659316881517273  sh11:0.15942535509831998  
0.0 sh0:0.15097791391258286  sh1:0.07486957988281669  sh2:0.04421179774558679  sh3:0.06333721535506255  sh4:0.5263146270792298  sh5:0.14362463957690627  sh6:0.16470186439792162  sh7:0.19186134308613284  sh8:0.13243208943458182  sh9:0.2809194518387489  sh10:0.22719922530399023  sh11:0.8070927518700464  
1.0 sh0:0.8222799804092552  sh1:0.8415661035981029  sh2:0.8672733263517592  sh3:0.845619238203959  sh4:0.7778386136537789  sh5:0.09834346681170257  sh6:0.1988369303368746  sh7:0.03942407145860402  sh8:0.07281232689625618  sh9:0.0  sh10:0.829028183503522  sh11:0.9430382685878069  
1.0 sh0:0.31351730461433736  sh1:0.5443720423514984  sh2:0.8647032375345144  sh3:0.7974521537302766  sh4:0.12481654350268259  sh5:0.9125025371169355  sh6:0.8900232018122731  sh7:0.895845805491902  sh8:0.7674675020928031  sh9:0.965856776523693  sh10:0.11885734517739983  sh11:0.02374683163681992  
0.0 sh0:0.1416649709960881  sh1:0.3337814541694174  sh2:0.6104672057181353  sh3:0.5532357722165491  sh4:0.27310010756589875  sh5:0.46926650978294077  sh6:0.39807987340594275  sh7:0.561594724082288  sh8:0.5234646830087385  sh9:0.5982567844692055  sh10:0.04443074974768554  sh11:0.14962022383822346  
0.0 sh0:0.11114178148592566  sh1:0.4010163137529716  sh2:0.6233580768884829  sh3:0.6261578834964906  sh4:0.19935739028512395  sh5:0.5452955059242884  sh6:0.4058192888251747  sh7:0.5581417712775962  sh8:0.6108129517888679  sh9:0.5002597433715018  sh10:0.016764704847247323  sh11:0.15955152378260573  
1.0 sh0:0.2931250652054344  sh1:0.5029366896853869  sh2:0.7556601079162727  sh3:0.6786815496738564  sh4:0.1991241741923773  sh5:0.8512597377329694  sh6:0.6055011378098875  sh7:0.6001735205701347  sh8:0.7849204710746408  sh9:0.44681290820524167  sh10:0.11799821672331645  sh11:0.2648909029832234  
0.0 sh0:0.16391828935669733  sh1:0.417890016731225  sh2:0.6599843356133721  sh3:0.642656936090633  sh4:0.19678900294929172  sh5:0.6905572438087404  sh6:0.542729250632039  sh7:0.6816555078912584  sh8:0.7854862764454571  sh9:0.6101438474007925  sh10:0.023928140401821896  sh11:0.11537960310253016  
1.0 sh0:0.28752122584906553  sh1:0.4946196100806258  sh2:0.789091464616281  sh3:0.7156995764786943  sh4:0.15945333723831034  sh5:0.9450940222359698  sh6:0.8895054405314656  sh7:0.8397998895140781  sh8:0.7961099054781686  sh9:0.8764171103018908  sh10:0.09068471549348713  sh11:0.08865417536790768  
1.0 sh0:0.47361260245031694  sh1:0.5918792171174385  sh2:0.6255107749262673  sh3:0.6369317364327106  sh4:0.49820586051407145  sh5:0.21975281668639857  sh6:0.1417152679634209  sh7:0.10722697820286899  sh8:0.18820333475150597  sh9:0.06420949768031459  sh10:0.5170957133029642  sh11:0.7368499901062069  
