0.0 sh0:0.386630286115797  sh1:0.19244584166253592  sh2:0.23029855688083506  sh3:0.0  sh4:0.2981499419483822  sh5:0.0  sh6:0.14718600195620146  sh7:0.0  sh8:0.40565835017084134  sh9:0.38607657135322393  sh10:0.18338649866765844  
0.0 sh0:0.6242028580435428  sh1:0.24888749177699326  sh2:0.16900679608347896  sh3:0.36470077439075604  sh4:0.4055689441177546  sh5:0.08697461164471253  sh6:0.09130050388944072  sh7:1.0  sh8:0.3833906676730233  sh9:0.501039107105657  sh10:0.06673552938608632  
0.0 sh0:0.4429174915819041  sh1:0.16155454740315475  sh2:0.0  sh3:0.25056868268264276  sh4:0.4362880988708393  sh5:0.12703211714163243  sh6:0.09560285643807653  sh7:0.6215073498682456  sh8:0.055232957496557974  sh9:0.39945239068258953  sh10:0.0  
0.0 sh0:1.0  sh1:0.0  sh2:0.250871375771035  sh3:0.38627983861682125  sh4:1.0  sh5:0.14191043998495462  sh6:0.0  sh7:0.8705983989481033  sh8:0.0  sh9:0.782169449728215  sh10:0.05356304435742413  
1.0 sh0:0.10278896254537537  sh1:0.6915446368680541  sh2:0.5458907962107012  sh3:0.44135483315801627  sh4:0.0731944891961058  sh5:0.5369212228459941  sh6:0.437801065178936  sh7:0.4748043957976614  sh8:0.38369242752334953  sh9:0.47139571857397083  sh10:0.12090805844778307  
1.0 sh0:0.26872020271370295  sh1:0.6571004598229728  sh2:0.4155190647973003  sh3:0.5675723175855256  sh4:0.06867114739363946  sh5:0.3451153211611764  sh6:0.18572595453294174  sh7:0.2824682888687268  sh8:0.35958854219042885  sh9:0.2877901356322362  sh10:0.31501885454745615  
1.0 sh0:0.07198603049284327  sh1:0.6918731703175871  sh2:0.467046073483261  sh3:0.5031681352567439  sh4:0.16338721462104483  sh5:0.7458393738445865  sh6:0.4771618344307609  sh7:0.4833967211486541  sh8:0.6696101153283857  sh9:0.34241558252140003  sh10:0.17471017756427193  
1.0 sh0:0.0  sh1:0.8707477051895256  sh2:0.608436521187954  sh3:0.6045730967185379  sh4:0.1415339279346187  sh5:0.8250001801683657  sh6:0.4236764337162876  sh7:0.43621558010318995  sh8:0.8564491869885328  sh9:0.23281054733881076  sh10:0.38714497780027274  
1.0 sh0:0.1460913509324961  sh1:0.6766185618180394  sh2:0.6368771238499977  sh3:0.39941861701521214  sh4:0.06636995888637427  sh5:0.44329602625932296  sh6:0.402048207513646  sh7:0.40634963874840496  sh8:0.45192814070659676  sh9:0.22075794201492857  sh10:0.39219411047083996  
1.0 sh0:0.25113981214372294  sh1:0.7454255352715231  sh2:0.4540312998978375  sh3:0.5683366661094702  sh4:0.06939845923882858  sh5:0.2329651509742049  sh6:0.35901313394636075  sh7:0.4033678558508243  sh8:0.28953729882558205  sh9:0.25034063302751136  sh10:0.3266649999554197  
1.0 sh0:0.2911886570207221  sh1:0.9797580076700351  sh2:0.9776332727037523  sh3:0.7676935346088818  sh4:0.19248322428095854  sh5:0.24287597227797209  sh6:0.4207748811145262  sh7:0.4829673856034338  sh8:0.44456206905449014  sh9:0.20171426376522772  sh10:0.3838046807014429  
1.0 sh0:0.10232382187956336  sh1:0.8459905639377706  sh2:0.779866528105849  sh3:0.6866708237500898  sh4:0.062232543230080116  sh5:0.5139016691199019  sh6:0.5902036905579526  sh7:0.6369687590713435  sh8:0.379534508209832  sh9:0.4272112766179034  sh10:0.0835931536459776  
1.0 sh0:0.19428799616616316  sh1:1.0  sh2:1.0  sh3:1.0  sh4:0.149183908713915  sh5:0.932527809297307  sh6:1.0  sh7:0.5766909569732945  sh8:0.9133920328806094  sh9:1.0  sh10:1.0  
1.0 sh0:0.0778126102494516  sh1:0.753488491117699  sh2:0.5133593892646772  sh3:0.6258533900950418  sh4:0.15043961157933908  sh5:0.9904304594515956  sh6:0.4646776969917115  sh7:0.5512718056524065  sh8:0.9904675776982379  sh9:0.25590027959115935  sh10:0.16474247929192934  
1.0 sh0:0.08691812542651614  sh1:0.9721434403892028  sh2:0.7959915596680288  sh3:0.8817078536991465  sh4:0.1593920707214653  sh5:1.0  sh6:0.5633386849888359  sh7:0.5251088713910846  sh8:1.0  sh9:0.4006088948083629  sh10:0.15440633875840853  
1.0 sh0:0.11343455371068585  sh1:0.7207899335825843  sh2:0.46483268285674795  sh3:0.6193891492826391  sh4:0.08748928582308778  sh5:0.6273394417501879  sh6:0.38235096488480824  sh7:0.6032415206965764  sh8:0.4304084082381442  sh9:0.2306084300815785  sh10:0.08539498244505944  
1.0 sh0:0.16544213025466764  sh1:0.7049984161729765  sh2:0.5145848224000513  sh3:0.4670345333769748  sh4:0.0  sh5:0.2832823406956037  sh6:0.28834769218402284  sh7:0.37532674944467725  sh8:0.18220657026783796  sh9:0.0  sh10:0.06115356802968358  
1.0 sh0:0.10213452882275055  sh1:0.5958406027375195  sh2:0.4177230259496983  sh3:0.44163952602828116  sh4:0.1915210185052162  sh5:0.7868437946513447  sh6:0.23037371439127943  sh7:0.4158754105332142  sh8:0.7979577321225755  sh9:0.18904274535292276  sh10:0.4461497492045629  
