0.0 sh0:0.2788580668341401  sh1:0.6526943874901034  sh2:0.029906760460613076  sh3:0.8033047203047708  sh4:0.1260015873742928  sh5:0.07917735795785587  sh6:0.05346720753242557  sh7:0.48161277061979646  sh8:0.1308761562825272  sh9:0.606503030344101  sh10:0.08990770043804099  sh11:0.19309733885742228  sh12:0.5204706033883848  sh13:0.6523471509863273  sh14:0.4775628316198549  sh15:0.135079510585657  sh16:0.7915645353476266  sh17:0.2943400588349887  sh18:0.44230326809516596  sh19:0.25319481837192664  sh20:0.6292710810096456  sh21:0.018203199935849273  sh22:0.11527822862304539  sh23:0.052289342478459074  sh24:1.0  sh25:0.4846187249031028  sh26:0.41536422825461167  sh27:0.4303022478902006  sh28:1.0  sh29:0.6273282372621007  sh30:0.3863198919657622  sh31:0.8934381882354689  sh32:0.2639314147215985  sh33:0.09131459804950669  sh34:0.24307203653841097  sh35:0.7895519139691023  sh36:0.4838741562641986  sh37:0.8673216767624262  sh38:0.8508397282507394  sh39:0.42379097244330244  sh40:0.3855254441005729  sh41:0.42826124197967036  sh42:0.2151964774954214  sh43:1.0  sh44:0.3762223308639903  sh45:0.4845303542201603  sh46:0.03352021142653875  sh47:0.013254012055425578  sh48:0.13313039971204202  sh49:0.288770428682039  sh50:0.2664539662821839  sh51:0.08379017244427274  sh52:0.7092560841365922  sh53:0.07984496053603124  sh54:0.8751438128720674  sh55:0.2518132999992267  sh56:1.0  sh57:0.4506461275970046  sh58:0.14100441029612482  sh59:0.016294922475352643  sh60:0.39819705624264845  sh61:0.20843259190521157  sh62:0.5121797535571476  sh63:1.0  sh64:1.0  sh65:0.12383726329202364  sh66:0.4574867233183864  sh67:0.30010339751924014  sh68:0.7872562691531645  sh69:0.23538941827680018  sh70:0.3678319186020461  sh71:0.11961821182816289  sh72:1.0  sh73:0.8274240044614403  sh74:0.6322636966718035  sh75:0.9939229067671037  sh76:0.2628754108993741  sh77:0.4732378511194793  sh78:0.5728557104552838  sh79:0.4360313179676213  sh80:0.5203843157364175  
1.0 sh0:0.8862268807186087  sh1:0.9842875810234664  sh2:0.8564799564979957  sh3:0.3524428904513224  sh4:0.024406299666475523  sh5:0.10329057735435873  sh6:0.9230167481521432  sh7:0.008494523369240167  sh8:0.370989691659489  sh9:0.6037632083424237  sh10:0.1515410830046157  sh11:0.014810416615156367  sh12:0.08054111277400414  sh13:0.25959549567775664  sh14:0.38081877032620737  sh15:0.08133410688058712  sh16:1.0  sh17:0.16904817224801416  sh18:0.10553480873877898  sh19:0.009066420697762494  sh20:0.052153117582711316  sh21:0.2394948623736573  sh22:0.6506885025326661  sh23:0.046462194366698475  sh24:0.04342157364265535  sh25:0.4411761123781914  sh26:0.24853780184399818  sh27:0.8054014107047646  sh28:0.4629980415059388  sh29:0.0  sh30:0.06086528475005432  sh31:0.2241143878385271  sh32:0.6621919345065835  sh33:0.05715489858401578  sh34:0.0506743855441881  sh35:0.0  sh36:0.01633605665976398  sh37:0.0  sh38:0.3549295459005026  sh39:0.048692760243136235  sh40:0.0  sh41:0.475859556952093  sh42:0.09340361449080764  sh43:0.1253517841148678  sh44:0.04192753464510465  sh45:0.2189279474763221  sh46:0.383435131239868  sh47:0.5390920989151038  sh48:0.4464236091427238  sh49:1.0  sh50:0.5081422512951117  sh51:0.7778996890057639  sh52:0.06985421493545999  sh53:1.0  sh54:0.07002679159419938  sh55:0.051797359219576435  sh56:0.16759080554816208  sh57:0.0  sh58:0.10913951663158306  sh59:0.13265858708713082  sh60:0.4890658341641974  sh61:0.595305184634835  sh62:0.10769935009241198  sh63:0.0  sh64:0.0  sh65:0.6725646521973024  sh66:0.08651419545544957  sh67:0.16888415328143894  sh68:0.07244105328112467  sh69:0.5127455029306012  sh70:0.02419803935949789  sh71:0.46225417814917263  sh72:0.08158420198593928  sh73:0.1483899937118205  sh74:0.07492218227963351  sh75:0.0  sh76:0.7072453650734373  sh77:0.0  sh78:0.450622051865389  sh79:0.36428651777388654  sh80:0.06151460942631806  
2.0 sh0:0.8520607629279167  sh1:0.8529050718171388  sh2:0.5457303982101069  sh3:0.768964566012636  sh4:0.0  sh5:0.0  sh6:0.04826498994577357  sh7:0.37831664919911917  sh8:0.044711123201871206  sh9:0.38367826781013953  sh10:0.14192548559988552  sh11:0.009143094013410309  sh12:0.13721407069733887  sh13:0.6499401397427892  sh14:0.26269990694218837  sh15:0.09070732549646297  sh16:0.5804011599114117  sh17:0.07169360709751758  sh18:0.1810229485361333  sh19:0.1456577530600656  sh20:0.4518140765709698  sh21:0.0022703254205981094  sh22:0.03564330860812983  sh23:0.04610495357020157  sh24:0.2961177975780537  sh25:0.10505561982224787  sh26:0.2666265608938057  sh27:0.17329367281649  sh28:0.11348404184631743  sh29:0.6171096686786737  sh30:0.1783331591524153  sh31:0.41288782107523986  sh32:0.18146666070759168  sh33:0.005894272696769182  sh34:0.07184334254500062  sh35:0.5366294505168718  sh36:0.05421948742616487  sh37:0.7273914320977444  sh38:0.39146278276992913  sh39:0.24674657393306224  sh40:0.13141770066307057  sh41:0.10453879312354054  sh42:0.16667443121895625  sh43:0.19270050832136867  sh44:0.333647615465825  sh45:0.04917239550369907  sh46:0.06455190880321966  sh47:0.005898535065487468  sh48:0.28356494834579815  sh49:0.12030737019375023  sh50:0.31748017415910756  sh51:0.17152437496210238  sh52:0.7818616654414026  sh53:0.0  sh54:0.6080035899648073  sh55:0.44486701830705405  sh56:0.25956130233987634  sh57:0.2789174645980358  sh58:0.15149326666890675  sh59:0.01599720022268633  sh60:0.09487572510616775  sh61:0.09093930987150413  sh62:0.938907690896975  sh63:0.5315194214256099  sh64:0.5203453808147359  sh65:0.0  sh66:0.28188549993158585  sh67:0.09671637778122123  sh68:0.29890378415241053  sh69:0.08104989430914361  sh70:0.37365808134438316  sh71:0.0  sh72:0.6353086034990957  sh73:0.38101830467549436  sh74:0.18777691151149517  sh75:0.31883271358569065  sh76:0.4956272044875134  sh77:0.3778688799456663  sh78:0.6166677959835695  sh79:0.1893165126401173  sh80:0.5603702459319811  
2.0 sh0:1.0  sh1:0.9719397846236063  sh2:0.9445909037662401  sh3:0.5966277076088631  sh4:0.008801495851400831  sh5:0.050446750951104374  sh6:0.8869580887089958  sh7:0.02288416647277008  sh8:0.41497770338712203  sh9:0.38429956608543114  sh10:0.32658991598892734  sh11:0.0  sh12:0.08353242094548986  sh13:0.365865770481941  sh14:0.0  sh15:0.06773586874613173  sh16:0.6433104279507853  sh17:0.0  sh18:0.13303921352518047  sh19:0.0142856615670547  sh20:0.27328468381708976  sh21:0.41766118282095344  sh22:0.6458925412194103  sh23:0.06995176621432117  sh24:0.12387414655009323  sh25:0.39617161445917004  sh26:0.22810314086256064  sh27:0.6253399396650728  sh28:0.3151044595180472  sh29:0.4710156491060916  sh30:0.15042180942997674  sh31:0.2831945358077815  sh32:0.25618369587484424  sh33:0.05808889093782585  sh34:0.023345451487270248  sh35:0.037929239468005256  sh36:0.04476838382131729  sh37:0.675743216608622  sh38:0.36275744785102615  sh39:0.08459040927755668  sh40:0.25229581919909294  sh41:0.36393103122667764  sh42:0.156837488146953  sh43:0.06789466186054467  sh44:0.04585833792093878  sh45:0.24366961557552136  sh46:0.37339790576307  sh47:0.3757880791397705  sh48:0.35745500655566864  sh49:0.3362427446395328  sh50:0.7286089665139353  sh51:0.9008401068666558  sh52:0.12117062700710472  sh53:0.9603529453276236  sh54:0.10003006483932553  sh55:0.0  sh56:0.22440572351238625  sh57:0.06577231880211523  sh58:0.1351171790560353  sh59:0.20693282334354  sh60:0.5760521087851636  sh61:0.6565946755863843  sh62:0.0  sh63:0.03264317301800357  sh64:0.3607152941527524  sh65:0.4223667875500261  sh66:0.3885397687463622  sh67:0.2823339445442927  sh68:0.15339374247045387  sh69:0.5970908346008372  sh70:0.0432413045946542  sh71:0.5508902608422381  sh72:0.14728525915218962  sh73:0.0  sh74:0.0  sh75:0.2992457967865431  sh76:0.5359614627116377  sh77:0.3407761868190969  sh78:0.5049148663233275  sh79:0.08218967322778102  sh80:0.38986728307189705  
2.0 sh0:0.7372573488345979  sh1:0.8396878183103283  sh2:0.43991660955791595  sh3:0.7839470512834713  sh4:0.013498735733630217  sh5:0.035273699809756545  sh6:0.06378546251033923  sh7:0.3628024227254986  sh8:0.07679965740715763  sh9:0.40111024622781666  sh10:0.07926175089377831  sh11:0.012639761883226039  sh12:0.20629666876197258  sh13:0.48134212419660244  sh14:0.2492410777618442  sh15:0.10755399061453672  sh16:0.4790613402278123  sh17:0.14370758808604644  sh18:0.14752833554355418  sh19:0.09086275841844473  sh20:0.49153229109793745  sh21:0.0072416161218552474  sh22:0.06310891512277074  sh23:0.033765024112924924  sh24:0.2957258475226241  sh25:0.07032784829038631  sh26:0.34776984191645705  sh27:0.06552566662577933  sh28:0.09854929594516239  sh29:0.5495143427464333  sh30:0.2126699876290669  sh31:0.21318690739594973  sh32:0.18492168307024762  sh33:0.0022701729712461135  sh34:0.11099346819912494  sh35:0.4268906825299261  sh36:0.06353728543174884  sh37:0.7353570334387848  sh38:0.1361033852610596  sh39:0.21855419204403617  sh40:0.13486967227535201  sh41:0.06219821671006324  sh42:0.02127004171766604  sh43:0.18619720011377547  sh44:0.45201855357157356  sh45:0.052412307784758354  sh46:0.02603852870472075  sh47:0.016430462850917413  sh48:0.23654585704705705  sh49:0.070701745076148  sh50:0.4328945490844651  sh51:0.4729821066660028  sh52:0.8622775432209323  sh53:0.01092556596388405  sh54:0.8153011055394139  sh55:0.512984104016782  sh56:0.17068172830110848  sh57:0.057304620693857146  sh58:0.0637923546371221  sh59:0.013898640426294927  sh60:0.1796289936509214  sh61:0.11284083990476801  sh62:0.8167825377627317  sh63:0.5429658670387765  sh64:0.04285784969652778  sh65:0.02472948992031425  sh66:0.25598126572807584  sh67:0.08881845271594847  sh68:0.04220199243409026  sh69:0.06203010014190913  sh70:0.4611103193987745  sh71:0.06003387049425859  sh72:0.7178660103828028  sh73:0.6598287135159181  sh74:0.161912809815731  sh75:0.2031282540871328  sh76:0.529458152126175  sh77:0.283721949155447  sh78:0.4475146142783204  sh79:0.40217936611410243  sh80:0.4842452971493918  
2.0 sh0:0.6234441180848557  sh1:0.8095836052666696  sh2:0.36830515618853993  sh3:0.7677674801941363  sh4:0.010494740014933559  sh5:0.0446110558879653  sh6:0.07317020132928595  sh7:0.38376036029724064  sh8:0.02420262706773724  sh9:0.5500791969785598  sh10:0.17148472713415094  sh11:0.014436100929134369  sh12:0.17125749140996088  sh13:0.6601158418503565  sh14:0.25334110396385534  sh15:0.10002548335347212  sh16:0.5334959665363828  sh17:0.12706067449424166  sh18:0.3035931197246752  sh19:0.18345788613704375  sh20:0.43630415485728913  sh21:0.003990035825478745  sh22:0.03196596330247665  sh23:0.03231190184058938  sh24:0.3442659652527383  sh25:0.333999601305547  sh26:0.2920259452637568  sh27:0.172916568990892  sh28:0.24189016419569143  sh29:0.39700552147929674  sh30:0.14753455828689813  sh31:0.4395577211539084  sh32:0.1844401405901095  sh33:0.005999471674443879  sh34:0.11463748351028098  sh35:0.5616581955597183  sh36:0.050496826646038544  sh37:0.7226048908017628  sh38:0.45161041231293825  sh39:0.245249946186313  sh40:0.35186847864042803  sh41:0.1575583783940903  sh42:0.0330258387761332  sh43:0.2265251833080084  sh44:0.3631746187979881  sh45:0.04331323318620796  sh46:0.02688342338871081  sh47:0.009994816474221638  sh48:0.30018695061740314  sh49:0.0974134087298377  sh50:0.21950273491735575  sh51:0.08468005471058827  sh52:0.876724148511513  sh53:0.007310834450191239  sh54:0.8274640127692463  sh55:0.5290539125400493  sh56:0.255816548493067  sh57:0.24192755336295646  sh58:0.41864991741810414  sh59:0.0356785231812032  sh60:0.17761821994120783  sh61:0.0877657656071197  sh62:0.8460609852560271  sh63:0.6078351377108256  sh64:0.39008004763151655  sh65:0.009605732791367175  sh66:0.22642478911153324  sh67:0.06071528767573028  sh68:0.19585204858565544  sh69:0.05981876456877544  sh70:0.5597551247683091  sh71:0.030389242354903517  sh72:0.6680251963609155  sh73:0.4955208295738231  sh74:0.4947562717819875  sh75:0.5306605280194518  sh76:0.5533431162902065  sh77:0.60004585274623  sh78:0.6359263533174875  sh79:0.2389449627111859  sh80:0.5544491285282357  
2.0 sh0:0.7742946438517755  sh1:0.9191489346227383  sh2:1.0  sh3:0.8270967328638922  sh4:0.02916548897805109  sh5:0.25458235171172006  sh6:0.9704830544297159  sh7:0.014283557219558157  sh8:0.34606403624141074  sh9:0.6271847392416323  sh10:0.4361353044871935  sh11:0.050519851623066575  sh12:0.30205282748740664  sh13:0.615366925405864  sh14:0.19508988523454068  sh15:0.20360461885265074  sh16:0.24044444785783978  sh17:0.25426015216506537  sh18:0.31703504067199606  sh19:0.002859096487156874  sh20:0.3905427198154038  sh21:0.293444947994964  sh22:0.8726753823114194  sh23:0.05580688812371878  sh24:0.906457665984467  sh25:0.34146159129117293  sh26:0.32932717385454446  sh27:0.8058724392102491  sh28:0.46467728035233863  sh29:0.05232576554994836  sh30:0.4669625049683423  sh31:0.4636896098005561  sh32:0.0923993490203323  sh33:0.04907543751815255  sh34:0.22246707184990316  sh35:0.5463914892047577  sh36:0.1651105030835225  sh37:0.8131744756039746  sh38:0.08916461683125997  sh39:0.24975815100809906  sh40:0.12487481693720553  sh41:0.4068458163309155  sh42:0.16084074311296828  sh43:0.3741908849986558  sh44:0.524466083067278  sh45:0.23370918571449295  sh46:0.38246433589458195  sh47:0.3642200092571155  sh48:0.347170093199307  sh49:0.45034260181679686  sh50:0.4923058291243461  sh51:0.9178116543729354  sh52:0.04688011313341445  sh53:0.9672752023107181  sh54:0.0477801345533497  sh55:0.009887370838105786  sh56:0.39440735899914153  sh57:0.5272339100572075  sh58:0.15431905953620742  sh59:0.11082218131026604  sh60:0.8638766385754205  sh61:0.926403903245999  sh62:0.0871021837862969  sh63:0.03898872370025379  sh64:0.1155889223066898  sh65:0.6953869827585801  sh66:0.08784941457436624  sh67:0.08745440455250826  sh68:0.0970204285971325  sh69:0.9989925344138408  sh70:0.06209128712756884  sh71:0.8871473605337884  sh72:0.44276371716172574  sh73:0.12323244871334094  sh74:0.10470154527931258  sh75:0.6403043304336307  sh76:0.31949278260430575  sh77:0.3024549927674855  sh78:0.5232408473830771  sh79:0.1221572799126091  sh80:0.09645508338631426  
2.0 sh0:0.8783017401119435  sh1:0.9732024875963408  sh2:0.8243938239606421  sh3:0.8134179778383642  sh4:0.011586386345887044  sh5:0.04332467646217322  sh6:0.9064194615321346  sh7:0.009236470212700262  sh8:0.34612971622686717  sh9:0.4503565279439266  sh10:0.15076418968962982  sh11:0.0035221687202709206  sh12:0.06702605913166977  sh13:0.7615051956240367  sh14:0.22953099995012055  sh15:0.07924230949649017  sh16:0.7685034656223954  sh17:0.09076174418394634  sh18:0.11185652564721091  sh19:0.008926989379185927  sh20:0.05747885646328438  sh21:0.15428174011567528  sh22:0.6264359615575155  sh23:0.07367231493796288  sh24:0.11448012028507315  sh25:0.2786304758080628  sh26:0.21573097135635497  sh27:0.7153123708525699  sh28:0.29847380518289324  sh29:0.17597898076420027  sh30:0.0949273592084952  sh31:0.17886524867939607  sh32:0.4289695569414632  sh33:0.0460063407194519  sh34:0.007574215297461363  sh35:0.07804872482209943  sh36:0.04350116585471072  sh37:0.799760166714562  sh38:0.28457077940237313  sh39:0.09769401110329731  sh40:0.027348326873487473  sh41:0.3549242443067808  sh42:0.16820093492964622  sh43:0.07514062549711162  sh44:0.15262898476380296  sh45:0.2149840826399502  sh46:0.38008225269358004  sh47:0.4266301394671057  sh48:0.4197328933097849  sh49:0.7819158034724439  sh50:0.5399232479121199  sh51:0.8982819313330186  sh52:0.036309326805510446  sh53:0.8565847541717828  sh54:0.021359342545481785  sh55:0.008696880705223764  sh56:0.3050672194302039  sh57:0.06804088107108114  sh58:0.11406125122029986  sh59:0.023857119946366332  sh60:0.912709813792263  sh61:0.5524165838542409  sh62:0.14600996751888634  sh63:0.015188799269131423  sh64:0.2801648352634537  sh65:0.6493056548606561  sh66:0.026891631665681925  sh67:0.45140127334394203  sh68:0.12398463113826207  sh69:0.5312722662189684  sh70:0.028776487159453454  sh71:0.5575774688042072  sh72:0.2304707471086471  sh73:0.05439908215180327  sh74:0.009674090484565242  sh75:0.49525915954400385  sh76:0.5806750241197896  sh77:0.09720711037578743  sh78:0.5082631181601999  sh79:0.20024695117057198  sh80:0.008947883996553838  
3.0 sh0:0.9180063203020903  sh1:0.8594277374133777  sh2:0.5677597936224852  sh3:0.8590948865844467  sh4:0.06052882143210712  sh5:0.19512634038174945  sh6:0.16315507949730215  sh7:0.3357038074087825  sh8:0.07319120001616276  sh9:0.44447678298963994  sh10:0.5062311596817457  sh11:0.04825564987270641  sh12:0.0189848271644316  sh13:0.36735128881309215  sh14:0.2779466709246953  sh15:0.024521882001179513  sh16:0.43659914176188047  sh17:0.21864586104520484  sh18:0.044297374019489764  sh19:0.1285196124397118  sh20:0.2354808596468978  sh21:0.0019436917312808427  sh22:0.08310322310901197  sh23:0.05735616120010556  sh24:0.0549192845732836  sh25:0.06547162351152012  sh26:0.2369753559896505  sh27:0.04100195396863627  sh28:0.09703258757381236  sh29:0.4243069407928573  sh30:0.05149107589269926  sh31:0.19265817899375265  sh32:0.231176428073579  sh33:0.006271318011703436  sh34:0.08186577558571939  sh35:0.5252533069152188  sh36:0.10156664650540748  sh37:0.7335927199137842  sh38:0.31981942966818877  sh39:0.2301819152827284  sh40:0.08829796102913186  sh41:0.09529301547037175  sh42:0.37226728320817165  sh43:0.07058175743261785  sh44:0.26346031067083936  sh45:0.03943809066181792  sh46:0.08937438119304263  sh47:0.00511286107985851  sh48:0.8409245409762033  sh49:0.13202060814342068  sh50:0.14644562997885055  sh51:0.17720329855499095  sh52:0.7290948658476782  sh53:0.012077935677261706  sh54:0.5974121553018075  sh55:0.431732135607776  sh56:0.2564227787687633  sh57:0.40885139439738627  sh58:0.2544243302447739  sh59:0.018322526611114186  sh60:0.038862499615777674  sh61:0.08050352116930669  sh62:0.9551506494439969  sh63:0.5348946063648315  sh64:0.6017906394915156  sh65:0.0010558921226619877  sh66:0.23150706274046573  sh67:0.10107318560554789  sh68:0.18797383723620148  sh69:0.3619412355101136  sh70:0.348395583123422  sh71:0.2074956626524734  sh72:0.5174554078346233  sh73:0.33969901966785926  sh74:0.16540525293808764  sh75:0.6601503924124771  sh76:0.6738727041865171  sh77:0.940134631431172  sh78:0.5448967474158058  sh79:0.08013473555998606  sh80:0.5726260889648593  
3.0 sh0:0.9710090812927731  sh1:0.9843323137136981  sh2:0.7275434762255963  sh3:0.4945807428574295  sh4:0.09875881292143746  sh5:0.4526425677381911  sh6:0.8813036064839214  sh7:0.012975018895939838  sh8:0.3554444333332947  sh9:0.47517134637310965  sh10:0.6826649215740118  sh11:0.0819155779035924  sh12:0.010150916713547042  sh13:0.19475480907252568  sh14:0.1318341315896531  sh15:0.0382795953164563  sh16:0.20343305192961136  sh17:0.4503850047043842  sh18:0.14076973809049154  sh19:0.021992269877715808  sh20:0.45539289378565745  sh21:0.0982400539356825  sh22:0.9433679530533977  sh23:0.08755663943960502  sh24:0.13146117798870763  sh25:0.2158168060424725  sh26:0.23263001866955696  sh27:0.8096736302030307  sh28:0.7350876241580441  sh29:0.7343297797810575  sh30:0.015540431699880857  sh31:0.09635315329141224  sh32:0.05221689683821176  sh33:0.042076413262721546  sh34:0.1425982837527808  sh35:0.10895728959011669  sh36:0.15589304849801913  sh37:0.2758143054292827  sh38:0.030060890091192817  sh39:0.06554470468014735  sh40:0.16209627572548307  sh41:0.2865723790406038  sh42:0.40866052327914737  sh43:0.010079075607953769  sh44:0.1463068273626788  sh45:0.19988143149711  sh46:0.3906853534169067  sh47:0.35453578008491604  sh48:0.6854675638100154  sh49:0.5606772128515843  sh50:0.6342734691182756  sh51:1.0  sh52:0.03494503457831007  sh53:0.9776261371091212  sh54:0.010245406968803349  sh55:0.020287204109918827  sh56:0.6384528111327548  sh57:0.41115932567533203  sh58:0.2795646477623565  sh59:0.01833199489995865  sh60:0.9098187163920923  sh61:0.915348945470958  sh62:0.1459862075687514  sh63:0.03164637493335112  sh64:0.06667191633358874  sh65:1.0  sh66:0.09451614536604941  sh67:0.38601413002115903  sh68:0.059653441999436035  sh69:0.6820169157556659  sh70:0.02518886602780435  sh71:0.4151094056487783  sh72:0.13540526674563277  sh73:0.10388273093885429  sh74:0.09391190848201056  sh75:0.877610267949831  sh76:0.7455567510461226  sh77:0.5817245985979876  sh78:0.5071030598372058  sh79:0.19352037221886273  sh80:0.028211039982650333  
3.0 sh0:0.7672883679278049  sh1:0.7678582528438032  sh2:0.37578753407640153  sh3:0.0  sh4:0.15014908524813486  sh5:0.208410765364021  sh6:0.08417499074300126  sh7:0.49591098662672933  sh8:0.028594034572628425  sh9:0.0  sh10:0.4547965577268738  sh11:0.1598979854549768  sh12:0.03912185588569514  sh13:0.11667200086946351  sh14:0.278470543523777  sh15:0.0  sh16:0.4605357111366283  sh17:0.31147884787167723  sh18:0.29209400491808074  sh19:0.3119177748386519  sh20:0.5872951223265194  sh21:0.006997561212867095  sh22:0.0  sh23:0.03793428311049777  sh24:0.2498865444566407  sh25:0.6909709635281205  sh26:0.2967248205561086  sh27:0.0  sh28:0.38533810826292214  sh29:0.2821681818072014  sh30:0.02362059611642841  sh31:0.21052387523568447  sh32:0.23134157154578788  sh33:0.029030579663029663  sh34:0.14093072626446884  sh35:0.5963491024391471  sh36:0.1856311446609252  sh37:0.26161930292459135  sh38:0.48790809895332854  sh39:0.2673058392244257  sh40:0.29978219602598827  sh41:0.44289662435309596  sh42:0.5084173730493715  sh43:0.17800581645793198  sh44:0.26068069911741293  sh45:0.019849624769782945  sh46:0.0  sh47:0.0019205668313373365  sh48:0.2171259644175626  sh49:0.1120866245060368  sh50:0.5407981594708885  sh51:0.0  sh52:1.0  sh53:0.04928388137926529  sh54:0.9234061533571084  sh55:1.0  sh56:0.3461520334267705  sh57:0.4715870239713538  sh58:0.3750148657043657  sh59:0.03258979815748449  sh60:0.15442996557290878  sh61:0.0417606966833191  sh62:0.6856348607066568  sh63:0.7038156601373551  sh64:0.22226825901438435  sh65:0.03322577060344405  sh66:0.25826755797149553  sh67:0.23425838348910386  sh68:0.27247840105910043  sh69:0.10408671634267563  sh70:1.0  sh71:0.05449709173342128  sh72:0.7429869035759259  sh73:0.5393006060968246  sh74:0.843139802901392  sh75:0.4103392568257642  sh76:1.0  sh77:0.9377282359110101  sh78:0.56479658480002  sh79:0.18974085099627183  sh80:0.613035560273226  
3.0 sh0:0.785917959578556  sh1:0.8170268153864336  sh2:0.5332859683758958  sh3:0.31991375331983996  sh4:0.01582456755770386  sh5:0.9025839898714619  sh6:0.23613852213457587  sh7:0.3439405656460518  sh8:0.08218756833936673  sh9:0.3609138668371825  sh10:1.0  sh11:0.009097897176128467  sh12:0.21087778245997862  sh13:0.08306449474679432  sh14:0.2575122691628433  sh15:0.08171027695519316  sh16:0.4825914359650749  sh17:0.8826195915731321  sh18:0.11581799078255046  sh19:0.08218773175288817  sh20:0.38747877146377013  sh21:0.004965038931046132  sh22:0.27181927349405743  sh23:0.017839047355373047  sh24:0.12624595319324214  sh25:0.052041230379354785  sh26:0.30614452796946484  sh27:0.021194741477006573  sh28:0.09138959349866956  sh29:0.37001183643337665  sh30:0.19704951916437005  sh31:0.17983552724417304  sh32:0.23416312090516128  sh33:0.0  sh34:0.050405517142656446  sh35:0.4577764635792277  sh36:0.06360119766299727  sh37:0.46993365389636  sh38:0.10707235199784157  sh39:0.22720361679001105  sh40:0.11329827422191269  sh41:0.08968464575196897  sh42:0.07223629900342061  sh43:0.13611144170546272  sh44:0.39848642580563187  sh45:0.038886962181869926  sh46:0.036271752425910284  sh47:0.01856217291447898  sh48:0.8052876256983656  sh49:0.09456049606595436  sh50:0.30728424630130924  sh51:0.516912843886556  sh52:0.8449966643251658  sh53:0.012254698632252913  sh54:0.7745265311725501  sh55:0.46275759912027326  sh56:0.1054158298584309  sh57:0.0628792348517734  sh58:0.09078054294408235  sh59:0.010749241719720349  sh60:0.23921731663966148  sh61:0.18678012994306895  sh62:0.7621471318593392  sh63:0.5116211473823069  sh64:0.29772980159713086  sh65:0.02065866338266321  sh66:0.21002437422843784  sh67:0.053766373578849294  sh68:0.08339209868948808  sh69:0.7150891658658148  sh70:0.43785304099043526  sh71:0.15364627264782107  sh72:0.664544509065774  sh73:0.5837943378727967  sh74:0.12776985282508901  sh75:0.2636070008565476  sh76:0.568901145941587  sh77:0.7984370995856203  sh78:0.7244916692626469  sh79:0.8588804223789284  sh80:0.46115369471292617  
3.0 sh0:0.548803934967768  sh1:0.908946834907222  sh2:0.6179281220748944  sh3:0.16883491461510175  sh4:0.02463050141086529  sh5:0.6176960575671747  sh6:0.911256359137405  sh7:0.01820986468661851  sh8:0.34762403700142824  sh9:0.4474750303774037  sh10:0.6989618744525534  sh11:0.009159587815020905  sh12:0.04261174340434901  sh13:0.0  sh14:0.45325929513523827  sh15:0.08532901532820324  sh16:0.0  sh17:0.7101583472949933  sh18:0.31505631188620237  sh19:0.010143215030410413  sh20:0.7192005049407934  sh21:0.18865746783559414  sh22:0.8958428747882575  sh23:0.07937917940105207  sh24:0.07178993451311465  sh25:0.18723311721478225  sh26:0.21152638476676472  sh27:0.4258603360139159  sh28:0.6823931301358694  sh29:0.19929836372311613  sh30:0.104375616974071  sh31:0.037091361901869964  sh32:0.11267092737460249  sh33:0.03333192423520136  sh34:0.0  sh35:0.18391708249944  sh36:0.04459340469871404  sh37:0.3411445558105805  sh38:0.12262875763805034  sh39:0.3448315288304177  sh40:0.3943341071035501  sh41:0.2919786704218004  sh42:0.20178329390769517  sh43:0.09225360647337791  sh44:0.3565442180420375  sh45:0.18797259390446766  sh46:0.384523598243369  sh47:0.5331265746386911  sh48:0.5229254232480348  sh49:0.6739499457063451  sh50:0.8024133240016733  sh51:0.9706444735474786  sh52:0.0  sh53:0.7293958527098864  sh54:0.01207266988536902  sh55:0.023139599594750395  sh56:0.0  sh57:0.05706511695504719  sh58:0.16966111006552878  sh59:0.022208907157978314  sh60:0.9758792618720175  sh61:0.9050486523060379  sh62:0.1353070535120318  sh63:0.047310943730408186  sh64:0.2755955606397567  sh65:0.9555451873468762  sh66:0.0  sh67:0.894206839024522  sh68:0.15885475030206989  sh69:0.6184688984937858  sh70:0.09904010924356212  sh71:0.49544000198404725  sh72:0.1267864743988416  sh73:0.07322698781840214  sh74:0.05223219788844137  sh75:0.18620820411446795  sh76:0.0  sh77:0.5383955761799248  sh78:0.4506685027789586  sh79:0.7213642155808143  sh80:0.017913468251331274  
