1.0 sh0:1.0  sh1:1.0  sh2:0.5026930622302437  sh3:1.0  sh4:0.9033859293833745  sh5:0.5550428522447428  sh6:0.2962529660178256  sh7:0.9448134179884083  sh8:0.28635232154025203  sh9:0.8628564652749938  sh10:0.29001053739313426  sh11:0.5014383305532868  
1.0 sh0:0.6970146751651708  sh1:0.30417280177546463  sh2:0.08882483463926726  sh3:0.8587929964175518  sh4:1.0  sh5:0.10199462025775331  sh6:0.73759784098782  sh7:0.4378996454362136  sh8:0.07832460990706262  sh9:0.2191365904538302  sh10:0.1000340255160675  sh11:0.7710106755706925  
0.0 sh0:0.1921061601102637  sh1:0.1288884872845261  sh2:0.8998462156672584  sh3:0.23082207987403489  sh4:0.08361718697785046  sh5:0.827583132587879  sh6:0.8208869251575692  sh7:0.21855630732477194  sh8:0.492383123830521  sh9:0.1363951988618149  sh10:0.3619992411752247  sh11:0.07834143169826197  
0.0 sh0:0.20856913813690048  sh1:0.1558904327397477  sh2:0.9175259406716585  sh3:0.17488350028877542  sh4:0.12298589614577472  sh5:0.9379863740861802  sh6:0.5632164045298493  sh7:0.4066503470211723  sh8:0.3564648528599787  sh9:0.253556687465294  sh10:0.5221233207252732  sh11:0.12104823179928594  
0.0 sh0:0.0  sh1:0.01995007601703071  sh2:0.8052255740717477  sh3:0.18712483040246553  sh4:0.17865603573376604  sh5:0.9045083999983846  sh6:0.27749467122133015  sh7:0.8553752828844077  sh8:0.2630155121031  sh9:0.14878889357104505  sh10:0.007910386273573957  sh11:0.8517188875095434  
1.0 sh0:0.5047000708450688  sh1:0.21409204815957542  sh2:0.15428368931762929  sh3:0.7061920872354703  sh4:0.5104160837032716  sh5:0.10046095071927048  sh6:0.47530695998803446  sh7:0.4322116889992126  sh8:0.07725142031537988  sh9:0.2706025184044839  sh10:0.09974374067412985  sh11:0.8539688329388051  
0.0 sh0:0.17530924537293535  sh1:0.12861314574243593  sh2:0.5597970056608943  sh3:0.29996055038907476  sh4:0.14114477595747021  sh5:0.4726910735604384  sh6:0.08497667031548999  sh7:0.3789198968381692  sh8:0.3346885350529397  sh9:0.23988916176490965  sh10:0.04234960945079375  sh11:0.5813808230679574  
1.0 sh0:0.4716633092048281  sh1:0.44121649615589664  sh2:0.34015602873734707  sh3:0.5615310086649083  sh4:0.3576213397948642  sh5:0.2921227381219152  sh6:0.42146409413435365  sh7:0.6433164500734355  sh8:0.2061058428654103  sh9:0.3980338024228635  sh10:0.07625684179605248  sh11:0.45616934826687267  
1.0 sh0:0.2839241251800171  sh1:0.17161347785213166  sh2:0.3991726391081956  sh3:0.342935216449815  sh4:0.21860989574813622  sh5:0.34649198558545685  sh6:0.7019806432483613  sh7:0.7687037154857627  sh8:0.3869408560817345  sh9:0.8130597868895321  sh10:0.034515464979650454  sh11:1.0  
0.0 sh0:0.20539944541070293  sh1:0.10211091976013685  sh2:0.9919572383682801  sh3:0.0  sh4:0.29657978859992884  sh5:0.9887851466084038  sh6:0.5086918842330179  sh7:0.3155387437494977  sh8:1.0  sh9:0.3004882907450148  sh10:0.3767776554928469  sh11:0.12556943546257093  
1.0 sh0:0.5378581715004621  sh1:0.2711936740220671  sh2:0.13922514515902554  sh3:0.5987986885300154  sh4:0.7069970762122783  sh5:0.0  sh6:0.5545998513634625  sh7:0.8334842381672689  sh8:0.0  sh9:0.3243794430974651  sh10:0.035788024811523954  sh11:0.780795312204096  
1.0 sh0:0.4640895080805427  sh1:0.32654921073602977  sh2:0.28226663554651255  sh3:0.6564827285775423  sh4:0.35406624655423424  sh5:0.22111727383672788  sh6:0.9139205570656337  sh7:0.508604196756364  sh8:0.13348676759754663  sh9:0.4341336711618361  sh10:0.8301764821489381  sh11:0.035941311310100116  
1.0 sh0:0.6624010612418904  sh1:0.3994399612255233  sh2:0.0  sh3:0.6960477250528398  sh4:0.8002370806952971  sh5:0.12222642834091679  sh6:0.5801305662322609  sh7:0.5058986702446  sh8:0.14728499244381463  sh9:0.34498377913143957  sh10:0.15106884229720519  sh11:0.0  
